roll_no,Name
1,Gita
2,Gita
3,Gita
4,hari
5,hari
6,Gita
7,hari
8,hari
9,Sita
10,hari
11,Gita
12,Ram
13,hari
14,Sita
15,Sita
16,Gita
17,Ram
18,Sita
19,Gita
20,hari
21,hari
22,hari
23,Gita
24,Gita
25,hari
26,hari
27,Gita
28,hari
29,hari
30,Ram
31,hari
32,Gita
33,hari
34,Ram
35,Gita
36,Ram
37,Ram
38,hari
39,Gita
40,Sita
41,Ram
42,Sita
43,Sita
44,Gita
45,hari
46,Sita
47,hari
48,hari
49,Sita
50,Ram
51,Ram
52,Gita
53,hari
54,hari
55,Sita
56,Ram
57,Sita
58,Ram
59,Ram
60,Gita
61,Ram
62,hari
63,Sita
64,Gita
65,Sita
66,Sita
67,Ram
68,Gita
69,Ram
70,Sita
71,Sita
72,Sita
73,Gita
74,hari
75,Ram
76,Ram
77,hari
78,Sita
79,Gita
80,hari
81,Gita
82,Sita
83,Sita
84,Ram
85,Sita
86,Sita
87,Ram
88,Ram
89,Gita
90,Gita
91,Ram
92,Sita
93,Ram
94,Sita
95,Sita
96,hari
97,Gita
98,Gita
99,Sita
100,hari
101,Ram
102,Ram
103,Sita
104,Sita
105,Ram
106,hari
107,Ram
108,Gita
109,hari
110,Sita
111,Ram
112,Ram
113,Gita
114,hari
115,Gita
116,Sita
117,hari
118,Sita
119,hari
120,hari
121,Ram
122,hari
123,Ram
124,Ram
125,hari
126,Gita
127,Gita
128,hari
129,hari
130,hari
131,Ram
132,Ram
133,Gita
134,Sita
135,Gita
136,hari
137,Ram
138,Gita
139,Gita
140,Sita
141,Gita
142,hari
143,Gita
144,Gita
145,Sita
146,hari
147,Ram
148,Gita
149,Ram
150,hari
151,Gita
152,hari
153,Gita
154,Gita
155,hari
156,Sita
157,Ram
158,Gita
159,hari
160,Sita
161,Ram
162,Sita
163,hari
164,hari
165,Gita
166,Ram
167,hari
168,hari
169,Gita
170,Ram
171,Ram
172,Gita
173,Ram
174,hari
175,Sita
176,Sita
177,Ram
178,Sita
179,Ram
180,Sita
181,Sita
182,hari
183,Sita
184,Gita
185,Gita
186,Gita
187,hari
188,Gita
189,hari
190,Sita
191,Ram
192,hari
193,Gita
194,Ram
195,Sita
196,Sita
197,Gita
198,hari
199,hari
200,Gita
201,Ram
202,Gita
203,Sita
204,Gita
205,Gita
206,Ram
207,Ram
208,Sita
209,Ram
210,Sita
211,Sita
212,Ram
213,Sita
214,Sita
215,Gita
216,Sita
217,Gita
218,hari
219,hari
220,hari
221,hari
222,Gita
223,Gita
224,Gita
225,Ram
226,Sita
227,hari
228,Sita
229,hari
230,Sita
231,Ram
232,Gita
233,Gita
234,Gita
235,Gita
236,Gita
237,Ram
238,hari
239,Gita
240,hari
241,Gita
242,Gita
243,hari
244,Sita
245,Gita
246,Sita
247,Gita
248,Sita
249,hari
250,hari
251,Sita
252,hari
253,Sita
254,Sita
255,Ram
256,Ram
257,Gita
258,Gita
259,Sita
260,hari
261,Gita
262,Sita
263,Sita
264,Gita
265,Gita
266,Gita
267,Ram
268,Sita
269,Gita
270,hari
271,Ram
272,Ram
273,hari
274,hari
275,hari
276,Ram
277,Sita
278,hari
279,Gita
280,Gita
281,hari
282,Ram
283,Sita
284,Ram
285,Ram
286,Gita
287,Gita
288,hari
289,Gita
290,Ram
291,Gita
292,Gita
293,Gita
294,Ram
295,Ram
296,hari
297,Sita
298,Gita
299,Gita
300,Ram
301,Sita
302,Ram
303,Sita
304,Ram
305,Sita
306,Sita
307,hari
308,Ram
309,Sita
310,Sita
311,hari
312,hari
313,Gita
314,Ram
315,Gita
316,Ram
317,Ram
318,Ram
319,Gita
320,Ram
321,Gita
322,hari
323,hari
324,Gita
325,Sita
326,Ram
327,hari
328,Sita
329,Ram
330,Ram
331,Ram
332,Gita
333,hari
334,hari
335,hari
336,Gita
337,Ram
338,Sita
339,Ram
340,Gita
341,Gita
342,Ram
343,hari
344,Sita
345,hari
346,Sita
347,Ram
348,hari
349,Ram
350,Sita
351,hari
352,Ram
353,Ram
354,Gita
355,Ram
356,Gita
357,hari
358,Ram
359,hari
360,Gita
361,Sita
362,Gita
363,Ram
364,Sita
365,Sita
366,Ram
367,hari
368,hari
369,Gita
370,Ram
371,Sita
372,Ram
373,Gita
374,Ram
375,hari
376,Sita
377,Sita
378,Gita
379,hari
380,Ram
381,hari
382,hari
383,Gita
384,Ram
385,hari
386,Sita
387,Ram
388,hari
389,hari
390,hari
391,Gita
392,Sita
393,Sita
394,Ram
395,Sita
396,hari
397,Sita
398,Ram
399,Ram
400,Gita
401,Sita
402,Gita
403,hari
404,Ram
405,Gita
406,Gita
407,hari
408,Gita
409,Gita
410,Sita
411,hari
412,Ram
413,Sita
414,Ram
415,hari
416,hari
417,Gita
418,Ram
419,Ram
420,hari
421,Gita
422,Ram
423,Sita
424,Ram
425,Ram
426,hari
427,Sita
428,hari
429,Sita
430,Gita
431,Ram
432,hari
433,Ram
434,Gita
435,Sita
436,hari
437,Sita
438,hari
439,Sita
440,hari
441,Sita
442,Sita
443,Ram
444,Gita
445,hari
446,Ram
447,Sita
448,Gita
449,Sita
450,Sita
451,hari
452,Ram
453,hari
454,hari
455,hari
456,Ram
457,hari
458,Gita
459,hari
460,Sita
461,Sita
462,hari
463,Ram
464,Sita
465,Ram
466,Ram
467,Gita
468,hari
469,Sita
470,Gita
471,Gita
472,Gita
473,Gita
474,Ram
475,hari
476,Gita
477,Sita
478,hari
479,Ram
480,Gita
481,Gita
482,Sita
483,hari
484,Sita
485,Gita
486,hari
487,Sita
488,Ram
489,Ram
490,Ram
491,Ram
492,hari
493,Sita
494,hari
495,Ram
496,hari
497,Sita
498,Ram
499,Gita
500,Gita
501,Gita
502,Gita
503,Sita
504,Ram
505,Sita
506,Gita
507,hari
508,hari
509,Gita
510,hari
511,Sita
512,Gita
513,Ram
514,Gita
515,Gita
516,Gita
517,Gita
518,hari
519,Gita
520,hari
521,hari
522,Sita
523,Sita
524,Gita
525,hari
526,Ram
527,hari
528,Sita
529,Sita
530,hari
531,Ram
532,Sita
533,hari
534,Sita
535,Ram
536,hari
537,hari
538,Sita
539,Sita
540,Ram
541,Ram
542,Sita
543,Gita
544,Gita
545,Gita
546,hari
547,Sita
548,Ram
549,hari
550,Sita
551,Sita
552,Gita
553,Ram
554,Sita
555,Ram
556,hari
557,Sita
558,Ram
559,Ram
560,Gita
561,Ram
562,hari
563,Sita
564,Ram
565,Ram
566,Gita
567,Gita
568,Sita
569,Gita
570,Ram
571,Ram
572,hari
573,Gita
574,hari
575,Ram
576,Ram
577,Sita
578,Sita
579,Gita
580,Sita
581,Sita
582,Ram
583,Gita
584,hari
585,Ram
586,Ram
587,hari
588,Gita
589,Gita
590,Sita
591,Sita
592,Gita
593,Gita
594,hari
595,Sita
596,Ram
597,Ram
598,Sita
599,hari
600,hari
601,Ram
602,Sita
603,Sita
604,Ram
605,Sita
606,hari
607,Ram
608,Sita
609,Ram
610,hari
611,Gita
612,hari
613,Sita
614,hari
615,Sita
616,hari
617,hari
618,Ram
619,hari
620,hari
621,Gita
622,hari
623,hari
624,Gita
625,hari
626,Ram
627,Ram
628,Sita
629,Sita
630,Sita
631,Gita
632,Sita
633,hari
634,Gita
635,Sita
636,Gita
637,hari
638,Ram
639,Gita
640,Sita
641,Gita
642,Ram
643,Sita
644,Gita
645,hari
646,Ram
647,hari
648,Sita
649,hari
650,Ram
651,Ram
652,hari
653,Ram
654,Gita
655,Gita
656,Sita
657,Ram
658,hari
659,Sita
660,Sita
661,Ram
662,Gita
663,hari
664,Sita
665,Ram
666,Gita
667,Ram
668,Gita
669,Gita
670,Sita
671,Ram
672,Gita
673,Gita
674,Ram
675,Sita
676,Sita
677,Gita
678,Gita
679,Gita
680,Gita
681,Ram
682,Sita
683,Gita
684,hari
685,Sita
686,hari
687,Gita
688,Ram
689,Sita
690,hari
691,Sita
692,Sita
693,Ram
694,Sita
695,Sita
696,Gita
697,Ram
698,Sita
699,Ram
700,Ram
701,hari
702,Gita
703,Sita
704,hari
705,hari
706,Gita
707,hari
708,Gita
709,hari
710,Gita
711,Gita
712,Ram
713,Sita
714,Ram
715,Gita
716,Sita
717,Ram
718,Ram
719,Gita
720,Ram
721,Gita
722,hari
723,hari
724,Sita
725,hari
726,Sita
727,Ram
728,Gita
729,Ram
730,Gita
731,Ram
732,hari
733,Sita
734,Sita
735,Sita
736,hari
737,hari
738,Ram
739,Gita
740,hari
741,Gita
742,hari
743,Ram
744,Sita
745,Ram
746,Gita
747,Gita
748,hari
749,Gita
750,Gita
751,Gita
752,Sita
753,Sita
754,Ram
755,hari
756,Gita
757,Ram
758,Sita
759,Ram
760,hari
761,Ram
762,Sita
763,hari
764,hari
765,hari
766,Gita
767,Gita
768,hari
769,Gita
770,Ram
771,Sita
772,Sita
773,hari
774,Gita
775,Gita
776,Sita
777,Gita
778,Gita
779,Sita
780,hari
781,Gita
782,Gita
783,hari
784,Sita
785,Sita
786,Ram
787,Gita
788,Sita
789,hari
790,hari
791,hari
792,Ram
793,Sita
794,Gita
795,hari
796,Ram
797,Sita
798,Gita
799,hari
800,Gita
801,Ram
802,Gita
803,Ram
804,hari
805,Gita
806,hari
807,Ram
808,hari
809,Sita
810,Sita
811,Sita
812,Ram
813,Ram
814,hari
815,hari
816,Gita
817,Ram
818,Ram
819,Sita
820,Ram
821,Sita
822,Sita
823,Ram
824,Gita
825,Gita
826,Gita
827,Gita
828,Ram
829,Sita
830,Sita
831,Sita
832,hari
833,Sita
834,Gita
835,Sita
836,Ram
837,Gita
838,Sita
839,Gita
840,Ram
841,Gita
842,Gita
843,hari
844,Gita
845,Sita
846,Gita
847,hari
848,hari
849,Ram
850,hari
851,Ram
852,Gita
853,Ram
854,Sita
855,Sita
856,Ram
857,Gita
858,hari
859,Gita
860,Ram
861,Sita
862,Gita
863,Gita
864,Sita
865,Sita
866,Gita
867,hari
868,Ram
869,Sita
870,Ram
871,Ram
872,Ram
873,Gita
874,Gita
875,Gita
876,hari
877,Sita
878,Gita
879,Ram
880,Gita
881,Ram
882,hari
883,Sita
884,Sita
885,hari
886,hari
887,Ram
888,Gita
889,Ram
890,Ram
891,hari
892,hari
893,hari
894,hari
895,hari
896,Sita
897,hari
898,Ram
899,hari
900,Gita
901,Sita
902,Sita
903,Sita
904,Ram
905,hari
906,Sita
907,Sita
908,hari
909,Gita
910,Sita
911,Gita
912,hari
913,Sita
914,Gita
915,Sita
916,Ram
917,Gita
918,hari
919,Gita
920,Ram
921,Sita
922,Gita
923,hari
924,hari
925,Ram
926,Sita
927,Ram
928,hari
929,Ram
930,Ram
931,Ram
932,Sita
933,Ram
934,Ram
935,Sita
936,Gita
937,hari
938,Ram
939,Sita
940,Gita
941,hari
942,Sita
943,hari
944,Gita
945,Sita
946,Sita
947,Gita
948,Ram
949,hari
950,Ram
951,Sita
952,Gita
953,Ram
954,Ram
955,Sita
956,hari
957,Gita
958,hari
959,Gita
960,Sita
961,hari
962,Sita
963,Ram
964,Sita
965,Sita
966,Sita
967,Sita
968,Ram
969,hari
970,Ram
971,Gita
972,Ram
973,Ram
974,hari
975,Gita
976,hari
977,hari
978,Ram
979,Gita
980,Ram
981,Gita
982,Ram
983,Ram
984,Gita
985,Gita
986,hari
987,Ram
988,Ram
989,Sita
990,Gita
991,Gita
992,hari
993,Sita
994,Sita
995,hari
996,Sita
997,Sita
998,Ram
999,hari
1000,Ram
1001,Sita
1002,Gita
1003,Sita
1004,Gita
1005,Ram
1006,Gita
1007,Sita
1008,Gita
1009,Ram
1010,hari
1011,hari
1012,Ram
1013,Ram
1014,Gita
1015,Gita
1016,Ram
1017,Gita
1018,Ram
1019,Gita
1020,hari
1021,Sita
1022,Ram
1023,Ram
1024,Ram
1025,Ram
1026,hari
1027,Ram
1028,hari
1029,Gita
1030,Sita
1031,Gita
1032,Sita
1033,Gita
1034,hari
1035,Gita
1036,hari
1037,Gita
1038,hari
1039,Ram
1040,hari
1041,Gita
1042,hari
1043,Ram
1044,hari
1045,Sita
1046,Ram
1047,hari
1048,Ram
1049,Sita
1050,Sita
1051,hari
1052,Sita
1053,Sita
1054,hari
1055,Ram
1056,hari
1057,hari
1058,Ram
1059,hari
1060,Sita
1061,Sita
1062,hari
1063,Gita
1064,Ram
1065,hari
1066,Sita
1067,hari
1068,Sita
1069,Sita
1070,Gita
1071,Ram
1072,hari
1073,hari
1074,Ram
1075,Gita
1076,hari
1077,Ram
1078,Ram
1079,Gita
1080,Ram
1081,Gita
1082,Sita
1083,Sita
1084,Ram
1085,hari
1086,Gita
1087,Gita
1088,Ram
1089,Gita
1090,Gita
1091,Gita
1092,Ram
1093,Sita
1094,Ram
1095,Sita
1096,Sita
1097,Ram
1098,Gita
1099,Ram
1100,Ram
1101,hari
1102,Gita
1103,Gita
1104,Ram
1105,hari
1106,hari
1107,Gita
1108,Sita
1109,Gita
1110,Ram
1111,Gita
1112,hari
1113,Ram
1114,Gita
1115,Ram
1116,Sita
1117,Sita
1118,hari
1119,Gita
1120,Sita
1121,Gita
1122,Ram
1123,Ram
1124,Gita
1125,hari
1126,Sita
1127,hari
1128,hari
1129,Sita
1130,Ram
1131,hari
1132,Gita
1133,Sita
1134,Ram
1135,hari
1136,Ram
1137,hari
1138,Ram
1139,Sita
1140,Gita
1141,Gita
1142,Sita
1143,Sita
1144,Sita
1145,Ram
1146,Sita
1147,Sita
1148,Sita
1149,Sita
1150,hari
1151,hari
1152,Ram
1153,Sita
1154,Sita
1155,Ram
1156,Ram
1157,Ram
1158,Sita
1159,Sita
1160,hari
1161,Ram
1162,Gita
1163,Ram
1164,Gita
1165,Gita
1166,Ram
1167,hari
1168,Sita
1169,Ram
1170,Gita
1171,hari
1172,Gita
1173,hari
1174,Ram
1175,hari
1176,Sita
1177,Ram
1178,hari
1179,Ram
1180,Gita
1181,Ram
1182,Gita
1183,hari
1184,hari
1185,Ram
1186,Ram
1187,Sita
1188,Gita
1189,Ram
1190,Gita
1191,Gita
1192,hari
1193,Sita
1194,Gita
1195,Ram
1196,Gita
1197,Gita
1198,Gita
1199,Ram
1200,Ram
1201,Ram
1202,Sita
1203,Ram
1204,Sita
1205,Ram
1206,Ram
1207,Ram
1208,Gita
1209,hari
1210,Sita
1211,Sita
1212,hari
1213,Gita
1214,Sita
1215,Sita
1216,hari
1217,Gita
1218,Sita
1219,Ram
1220,Ram
1221,Ram
1222,hari
1223,Ram
1224,hari
1225,Sita
1226,hari
1227,Sita
1228,Sita
1229,Sita
1230,Ram
1231,Gita
1232,hari
1233,Ram
1234,Sita
1235,Sita
1236,hari
1237,Ram
1238,Ram
1239,Sita
1240,Sita
1241,Ram
1242,Gita
1243,Sita
1244,Ram
1245,hari
1246,Sita
1247,Ram
1248,hari
1249,Sita
1250,Ram
1251,hari
1252,Sita
1253,Sita
1254,Sita
1255,Ram
1256,hari
1257,Ram
1258,Sita
1259,hari
1260,Gita
1261,hari
1262,Sita
1263,Ram
1264,hari
1265,Gita
1266,hari
1267,Gita
1268,Ram
1269,Gita
1270,Sita
1271,Ram
1272,Ram
1273,Sita
1274,Gita
1275,Sita
1276,Ram
1277,Gita
1278,Gita
1279,Gita
1280,Sita
1281,Ram
1282,Gita
1283,Ram
1284,hari
1285,hari
1286,Sita
1287,Sita
1288,Sita
1289,hari
1290,Gita
1291,hari
1292,Gita
1293,hari
1294,Sita
1295,Ram
1296,Ram
1297,Ram
1298,Gita
1299,Sita
1300,Gita
1301,Sita
1302,Sita
1303,Sita
1304,Gita
1305,hari
1306,hari
1307,Gita
1308,hari
1309,Sita
1310,Ram
1311,Gita
1312,Ram
1313,Ram
1314,hari
1315,hari
1316,Ram
1317,Gita
1318,Sita
1319,hari
1320,Sita
1321,Ram
1322,Ram
1323,Gita
1324,Ram
1325,hari
1326,Gita
1327,hari
1328,hari
1329,Gita
1330,Ram
1331,hari
1332,Ram
1333,hari
1334,Ram
1335,Sita
1336,Gita
1337,hari
1338,Ram
1339,Gita
1340,Gita
1341,Gita
1342,Sita
1343,Gita
1344,hari
1345,Gita
1346,Sita
1347,Ram
1348,hari
1349,Ram
1350,Ram
1351,Sita
1352,Sita
1353,Gita
